,Date,25,Active_power
553,06-06-18,7:00:00 PM,150.0
554,06-06-18,7:15:00 PM,150.0
555,06-06-18,7:30:00 PM,150.0
556,06-06-18,7:45:00 PM,150.0
557,06-06-18,8:00:00 PM,150.0
558,06-06-18,8:15:00 PM,0.0
559,06-06-18,8:30:00 PM,0.0
560,06-06-18,8:45:00 PM,0.0
561,06-06-18,9:00:00 PM,0.0
562,06-06-18,9:15:00 PM,0.0
563,06-06-18,9:30:00 PM,0.0
564,06-06-18,9:45:00 PM,0.0
565,06-06-18,10:00:00 PM,0.0
566,06-06-18,10:15:00 PM,180.0
567,06-06-18,10:30:00 PM,180.0
568,06-06-18,10:45:00 PM,180.0
569,06-06-18,11:00:00 PM,90.0
570,06-06-18,11:15:00 PM,30.0
571,06-06-18,11:30:00 PM,30.0
572,06-06-18,11:45:00 PM,30.0
573,07-06-18,12:00:00 AM,30.0
574,07-06-18,12:15:00 AM,0.0
575,07-06-18,12:30:00 AM,0.0
576,07-06-18,12:45:00 AM,0.0
577,07-06-18,1:00:00 AM,0.0
578,07-06-18,1:15:00 AM,0.0
579,07-06-18,1:30:00 AM,0.0
580,07-06-18,1:45:00 AM,0.0
581,07-06-18,2:00:00 AM,0.0
582,07-06-18,2:15:00 AM,30.0
583,07-06-18,2:30:00 AM,30.0
584,07-06-18,2:45:00 AM,30.0
585,07-06-18,3:00:00 AM,30.0
586,07-06-18,3:15:00 AM,30.0
587,07-06-18,3:30:00 AM,30.0
588,07-06-18,3:45:00 AM,30.0
589,07-06-18,4:00:00 AM,30.0
590,07-06-18,4:15:00 AM,30.0
591,07-06-18,4:30:00 AM,30.0
592,07-06-18,4:45:00 AM,30.0
593,07-06-18,5:00:00 AM,30.0
594,07-06-18,5:15:00 AM,30.0
595,07-06-18,5:30:00 AM,30.0
596,07-06-18,5:45:00 AM,1200.0
597,07-06-18,6:00:00 AM,90.0
598,07-06-18,6:15:00 AM,450.0
599,07-06-18,6:30:00 AM,2730.0
600,07-06-18,6:45:00 AM,1739.9999999999998
601,07-06-18,7:00:00 AM,0.0
602,07-06-18,7:15:00 AM,0.0
603,07-06-18,7:30:00 AM,0.0
604,07-06-18,7:45:00 AM,0.0
605,07-06-18,8:00:00 AM,0.0
606,07-06-18,8:15:00 AM,0.0
607,07-06-18,8:30:00 AM,0.0
608,07-06-18,8:45:00 AM,0.0
609,07-06-18,9:00:00 AM,0.0
610,07-06-18,10:00:00 AM,0.0
611,07-06-18,10:15:00 AM,0.0
612,07-06-18,10:30:00 AM,0.0
613,07-06-18,10:45:00 AM,0.0
614,07-06-18,11:00:00 AM,0.0
615,07-06-18,11:15:00 AM,0.0
616,07-06-18,11:30:00 AM,0.0
617,07-06-18,11:45:00 AM,1020.0000000000001
618,07-06-18,12:00:00 PM,420.00000000000006
619,07-06-18,12:15:00 PM,480.0
620,07-06-18,12:30:00 PM,0.0
621,07-06-18,12:45:00 PM,0.0
622,07-06-18,1:00:00 PM,0.0
623,07-06-18,1:15:00 PM,0.0
624,07-06-18,1:30:00 PM,0.0
625,07-06-18,1:45:00 PM,0.0
626,07-06-18,2:00:00 PM,0.0
627,07-06-18,2:15:00 PM,0.0
628,07-06-18,2:30:00 PM,0.0
629,07-06-18,2:45:00 PM,0.0
630,07-06-18,3:00:00 PM,0.0
631,07-06-18,3:15:00 PM,0.0
632,07-06-18,3:30:00 PM,0.0
633,07-06-18,3:45:00 PM,0.0
634,07-06-18,4:00:00 PM,0.0
635,07-06-18,4:15:00 PM,0.0
636,07-06-18,4:30:00 PM,0.0
637,07-06-18,4:45:00 PM,0.0
638,07-06-18,5:00:00 PM,0.0
639,07-06-18,5:15:00 PM,0.0
640,07-06-18,5:30:00 PM,1500.0
641,07-06-18,5:45:00 PM,2640.0
642,07-06-18,6:00:00 PM,1680.0000000000002
643,07-06-18,6:15:00 PM,60.0
644,07-06-18,6:30:00 PM,120.0
645,07-06-18,6:45:00 PM,150.0
646,07-06-18,7:00:00 PM,150.0
647,07-06-18,7:15:00 PM,0.0
648,07-06-18,7:30:00 PM,0.0
649,07-06-18,7:45:00 PM,0.0
650,07-06-18,8:00:00 PM,0.0
651,07-06-18,8:15:00 PM,150.0
652,07-06-18,8:30:00 PM,150.0
653,07-06-18,8:45:00 PM,150.0
654,07-06-18,9:00:00 PM,150.0
655,07-06-18,9:15:00 PM,0.0
656,07-06-18,9:30:00 PM,0.0
657,07-06-18,9:45:00 PM,0.0
658,07-06-18,10:00:00 PM,0.0
659,07-06-18,10:15:00 PM,150.0
660,07-06-18,10:30:00 PM,150.0
661,07-06-18,10:45:00 PM,150.0
